"IMDBID";"Title";"Genre";"Year";"URL";"Audience_Rating";"Critic_Rating";"Budget_In_Millions";"User_Review";"Polarity"
"tt0035423";"Kate & Leopold";"Comedy, Fantasy, Romance";2001;"https://m.media-amazon.com/images/M/MV5BNmNlN2VlOTctYTdhMS00NzUxLTg0ZGMtYWE2ZTJmMThlMTk2XkEyXkFqcGdeQXVyMzI0NDc4ODY@._V1_SX300.jpg";6.4;4.4;48.0;"Funny lines, bad plot, one hot actor";"Negative"
"tt0091288";"Jean de Florette";"Drama";1987;"https://m.media-amazon.com/images/M/MV5BMTgxNDc1NTE2OF5BMl5BanBnXkFtZTcwMjczNzA2NA@@._V1_SX300.jpg";8.1;0.0;0.0;"Escape to a rural idyll from another age";"Positive"
"tt0108148";"Iron Monkey";"Action, Crime, Drama";2001;"https://m.media-amazon.com/images/M/MV5BYjJmMGI4NjctYjUzNC00MDE2LWJiMjYtOGZmN2Y2ZTZjMDY5XkEyXkFqcGdeQXVyMTg2NTc4MzA@._V1_SX300.jpg";7.6;7.9;11.0;"Very enjoyable, well done action fest with a few laughs as well.";"Positive"
"tt0118589";"Glitter";"Drama, Music, Romance";2001;"https://m.media-amazon.com/images/M/MV5BMGJkN2IxNTYtZDE1OS00MWJhLWFhNzItNTZkMjM4OGUzMTE2L2ltYWdlXkEyXkFqcGdeQXVyNTg3MTc4ODY@._V1_SX300.jpg";2.2;1.4;22.0;"Oh the pain.... Mariah believes she is Streisand in A Star is Born";"Negative"
"tt0118926";"The Dancer Upstairs";"Crime, Drama, Thriller";2003;"https://m.media-amazon.com/images/M/MV5BODE2ODA5OTE1OV5BMl5BanBnXkFtZTYwNzk1MTc2._V1_SX300.jpg";7.0;6.4;0.0;"A very interesting movie with a semi-political subject";"Positive"
"tt0120202";"State and Main";"Comedy, Drama";2001;"https://m.media-amazon.com/images/M/MV5BZTVmZGRlMTgtN2I1Yi00YjE2LWFjMjctNDhiMWM4NTNmOGU2XkEyXkFqcGdeQXVyMTA0MjU0Ng@@._V1_SX300.jpg";6.8;7.5;0.0;"PLEASE PAY ATTENTION BEFORE POSTING";"Positive"
"tt0120630";"Chicken Run";"Animation, Adventure, Comedy, Drama, Family";2000;"https://m.media-amazon.com/images/M/MV5BY2UyYjFkNzAtYzIyMC00MGI1LTlkNDktNzUyOGQ5NTI2ZGFjXkEyXkFqcGdeQXVyNTUyMzE4Mzg@._V1_SX300.jpg";7.0;8.8;45.0;"Chicken Fun";"Positive"
"tt0120662";"Eye of the Beholder";"Drama, Mystery, Thriller";2000;"https://m.media-amazon.com/images/M/MV5BMjA2Mzk0MDcxN15BMl5BanBnXkFtZTYwMzI4NDI5._V1_SX300.jpg";4.9;2.9;35.0;"Terrible!";"Negative"
"tt0120667";"Fantastic Four";"Action, Adventure, Fantasy, Sci-Fi";2005;"https://m.media-amazon.com/images/M/MV5BNWU1ZjFjMTctYjA5ZC00YTBkLTkzZjUtZWEyMjgxY2MxYWM4XkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX300.jpg";5.7;4.0;100.0;"Not Horrible";"Positive"
"tt0120681";"From Hell";"Horror, Mystery, Thriller";2001;"https://m.media-amazon.com/images/M/MV5BMTM1MjkxNTQxMV5BMl5BanBnXkFtZTYwMDMxNDg2._V1_SX300.jpg";6.8;5.4;35.0;"Jack the Ripper is the ostensible subject of Albert and Allen Hughes' From Hell, but this legendary figure is more a point of departure, an obviously sensational hook, than the film's focus.";"Negative"
"tt0120737";"The Lord of the Rings: The Fellowship of the Ring";"Adventure, Drama, Fantasy";2001;"https://m.media-amazon.com/images/M/MV5BN2EyZjM3NzUtNWUzMi00MTgxLWI0NTctMzY4M2VlOTdjZWRiXkEyXkFqcGdeQXVyNDUzOTQ5MjY@._V1_SX300.jpg";8.8;9.2;93.0;"An absolutely incredible film!";"Negative"
"tt0120804";"Resident Evil";"Action, Horror, Sci-Fi";2002;"https://m.media-amazon.com/images/M/MV5BN2Y2MTljNjMtMDRlNi00ZWNhLThmMWItYTlmZjYyZDk4NzYxXkEyXkFqcGdeQXVyNjQ2MjQ5NzM@._V1_SX300.jpg";6.7;3.3;33.0;"Killer Action/Zombie Hybrid";"Negative"
"tt0120824";"The Shipping News";"Drama";2002;"https://m.media-amazon.com/images/M/MV5BNWEwMmNiNjctNDY5ZC00NDIyLWFiZDctNDdlZGU5NjA0MzA2L2ltYWdlXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX300.jpg";6.8;4.7;35.0;"Another moving display of human sentiments from Hallström.";"Negative"
"tt0120903";"X-Men";"Action, Adventure, Sci-Fi";2000;"https://m.media-amazon.com/images/M/MV5BZmIyMDk5NGYtYjQ5NS00ZWQxLTg2YzQtZDk1ZmM4ZDBlN2E3XkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX300.jpg";7.4;6.4;75.0;"Can your comic heros really come to life?";"Positive"
"tt0120910";"Fantasia 2000";"Animation, Comedy, Family, Fantasy, Music";2000;"https://m.media-amazon.com/images/M/MV5BMTE3OGUxNmItZmM3MC00ZTI3LTg0YTUtMzA3MGJkZjkyNjEyXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX300.jpg";7.2;5.9;80.0;"Amazing - a must-see for anyone who likes music!";"Positive"
"tt0120912";"Men in Black II";"Action, Adventure, Comedy, Mystery, Sci-Fi";2002;"https://m.media-amazon.com/images/M/MV5BMTMxNDA0NTMxMV5BMl5BanBnXkFtZTYwMDE2NzY2._V1_SX300.jpg";6.1;4.9;140.0;"Still good, just not as good";"Positive"
"tt0120913";"Titan A.E.";"Animation, Action, Adventure, Family, Sci-Fi";2000;"https://m.media-amazon.com/images/M/MV5BYTVkYTAyZDMtYzNmYi00OTkyLTg3M2ItNmE0MDZkNmY3Y2I3XkEyXkFqcGdeQXVyNjU2MDUzMjY@._V1_SX300.jpg";6.6;4.8;75.0;"Story doesn't matter - What a journey!";"Negative"
"tt0120917";"The Emperor's New Groove";"Animation, Adventure, Comedy, Family, Fantasy";2000;"https://m.media-amazon.com/images/M/MV5BNzk1ZDcwY2YtMzRhZi00OTYwLTkzMmYtMGMwN2Y3ZjM1MTM0XkEyXkFqcGdeQXVyNTUyMzE4Mzg@._V1_SX300.jpg";7.3;7.0;100.0;"Boom, baby!";"Negative"
"tt0121164";"Corpse Bride";"Animation, Drama, Family, Fantasy, Musical, Romance";2005;"https://m.media-amazon.com/images/M/MV5BMTk1MTY1NjU4MF5BMl5BanBnXkFtZTcwNjIzMTEzMw@@._V1_SX300.jpg";7.4;8.3;40.0;"This film is 100% spectacular!";"Negative"
"tt0121765";"Star Wars: Episode II - Attack of the Clones";"Action, Adventure, Fantasy, Sci-Fi";2002;"https://m.media-amazon.com/images/M/MV5BMDAzM2M0Y2UtZjRmZi00MzVlLTg4MjEtOTE3NzU5ZDVlMTU5XkEyXkFqcGdeQXVyNDUyOTg3Njg@._V1_SX300.jpg";6.6;5.4;115.0;"The Force is back";"Negative"
"tt0121766";"Star Wars: Episode III - Revenge of the Sith";"Action, Adventure, Fantasy, Sci-Fi";2005;"https://m.media-amazon.com/images/M/MV5BNTc4MTc3NTQ5OF5BMl5BanBnXkFtZTcwOTg0NjI4NA@@._V1_SX300.jpg";7.6;6.8;113.0;"This is war";"Negative"
